Site,Transect Number,DWH Transect Name,Year,Area (m2),Group,Group2,Acanthonus_armatus,Bassogigas_gillii,Dicrolene_introniger,Macrouridae_sp_M,Synaphobranchus_oregoni,Bathynomus_giganteus,Ophiurida_spp,Cerianthid_spp,Chaceon_quinquedens,Elpididae_spp,Paguroidea_sp_A,Oloughlinius_macdonaldi,Nematocarcinus_rotundus,Asteroidea_spp,Galatheoidea,Ilyophis_brunneus,Aldrovandia_affinis,Plesiopenaeus_armatus,Acanthephyra_sp_B,Virgularia_sp_C,Funiculina_quadrangularis,Actinostolidae_carlgren,Bathypterois_quadrifilis,Trachonurus_villosus,Ipnops_murrayi,Benthothuria,Cnidaria_sp_D,Fish_sp_E,Sipuncula_sp_F,Hormathiidae_sp_G,Holothuroidea_sp_H,Bathypterois_viridensis,Glyphocrangon_aculeata,Platyhelminthes,Chaceon_fenneri,Synaphobranchidae_sp_N,Zoarcidae_sp_K,Neolithodes_agassizii,Rhinochimaera_atlantica,Enypniastes_eximia,Total Abundance,Total Abundace2
2000_S,B11,225,2010,1677.5,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2000_S,B12,240,2010,1699.5,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2000_S,B13,255,2010,1538,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B14,270,2010,1697.3,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2000_S,B15,285,2010,1618.5,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B16,300,2010,1621.7,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B17,315,2010,1597.8,DWH2010,DWH 2010 2000m,0,0,0,0,0,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2000_S,B18,330,2010,1468.6,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500_N,B19,0,2010,2141.8,DWH2010,DWH 2010 500m,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
500_N,B20,22,2010,1925.8,DWH2010,DWH 2010 500m,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
500_N,B21,45,2010,2047.1,DWH2010,DWH 2010 500m,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
500_N,B22,67,2010,1950.5,DWH2010,DWH 2010 500m,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
500_N,B23,90,2010,1939.3,DWH2010,DWH 2010 500m,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
500_N,B24,270,2010,2400.5,DWH2010,DWH 2010 500m,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
500_N,B25,292,2010,2153.1,DWH2010,DWH 2010 500m,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
500_N,B26,315,2010,1883.2,DWH2010,DWH 2010 500m,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
500_N,B27,337,2010,1939.6,DWH2010,DWH 2010 500m,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
WF1,T1,T1,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
WF1,T2,T2,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
WF1,T3,T3,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
WF1,T4,T4,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
WF1,T5,T5,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
WF1,T6,T6,2017,,2017Background,Background 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
WF2,T7,T7,2017,,2017Background,Background 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
WF2,T8,T8,2017,,2017Background,Background 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10
WF2,T9,T9,2017,,2017Background,Background 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
WF3,T10,T10,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4
WF3,T11,T11,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
WF3,T12,T12,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,9,7
WF3,T13,T13,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5
WF3,T14,T14,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2
WF3,T15,T15,2017,,2017Background,Background 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
WF4,T16,T16,2017,,2017Background,Background 4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
WF4,T17,T17,2017,,2017Background,Background 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,3
500_N,T18,270,2017,,DWH2017,DWH2017 500m,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,79,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,99,7
500_N,T19,90,2017,,DWH2017,DWH2017 500m,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,28,2
500_N,T20,67,2017,,DWH2017,DWH2017 500m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,22,1
500_N,T21,292,2017,,DWH2017,DWH2017 500m,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,79,7
500_N,T22,315,2017,,DWH2017,DWH2017 500m,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,62,5
500_N,T23,45,2017,,DWH2017,DWH2017 500m,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,73,4
500_N,T24,22,2017,,DWH2017,DWH2017 500m,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,32,1
500_N,T25,337,2017,,DWH2017,DWH2017 500m,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,54,4
500_N,T26,0,2017,,DWH2017,DWH2017 500m,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,1,1,0,68,4
2000_S,T27,0,2017,,DWH2017,DWH 2017 2000m,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45,2
2000_S,T28,180,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,2,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,46,7
2000_S,T29,225,2017,,DWH2017,DWH 2017 2000m,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,49,4
2000_S,T30,45,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,31,6
2000_S,T31,90,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,0,10,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32,6
2000_S,T32,270,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,1,0,0,0,1,0,3,0,0,0,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,57,1
2000_S,T33,315,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,1,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,68,4
2000_S,T34,135,2017,,DWH2017,DWH 2017 2000m,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,26,7
